"","Sourced","Placed","References","Value","Footprint","Quantity"
1,"","","C3, C4, C6, C7, C8","0.1uF","C_0805_2012Metric",5
2,"","","C1, C2, C5","10uF","C_0805_2012Metric",3
3,"","","R1, R2","10k","R_0805_2012Metric",2
4,"","","U1, U3","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",2
5,"","","U2","AMS1117-3.3","SOT-223-3_TabPin2",1
6,"","","U4","ESP32-WROOM-32E","WIFI-SMD_ESP32-WROOM-32E",1
7,"","","SW1","BOOT","SW_PUSH_6mm",1
8,"","","SW2","RESET","SW_PUSH_6mm",1
9,"","","J1, J2","USB_B_Micro","USB_Micro-B_Molex-105017-0001",2
